order_id,customer_id,order_date,product_name,category,quantity,unit_price,discount_pct,revenue,city,quan_huyen,status,delivery_days,rating
ORD000001,CUS017762,2024-03-11 12:56:57,Vợt cầu lông Yonex,Thể Thao,0,771000,0.07,0,Cần Thơ,Bình Thuỷ,Đã hủy,5.0,
ORD000002,CUS013773,2024-03-25 00:14:06,Nước mắm Phú Quốc 1L,FMCG,0,32000,0.46,0,TP.HCM,,Đã hủy,1.3,
ORD000003,CUS022666,2024-03-25 10:40:40,Vợt cầu lông Yonex,Thể Thao,0,813000,0.0,0,TP.HCM,Q.12,Hoàn thành,2.0,
ORD000004,CUS007292,2024-03-23 15:19:35,Nồi cơm điện Cuckoo,Gia Dụng,1,1000,0.11,890,TP.HCM,Q.Tân Bình,Hoàn thành,1.4,
ORD000005,CUS003011,2024-03-16 04:01:48,"Smart TV Samsung 55""",Điện Tử,1,1609000,0.0,1609000,Hà Nội,,Hoàn thành,1.8,4.0
ORD000006,CUS022058,2024-03-28 06:32:58,Bàn phím cơ Keychron K2,Phụ Kiện,1,114000,0.27,83220,Cần Thơ,,Hoàn thành,4.5,
ORD000007,CUS025490,2024-03-21 10:24:49,Bàn ủi hơi nước Philips,Gia Dụng,1,988000,0.13,859560,TP.HCM,Q.Bình Thạnh,Hoàn thành,1.0,
ORD000008,CUS015064,2024-03-04 04:34:32,Giày chạy bộ Adidas Ultraboost,Thể Thao,10,998000,0.3,6986000,TP.HCM,,Hoàn thành,1.6,4.0
ORD000009,CUS027207,2024-03-19 10:23:42,Samsung Galaxy S24,Điện Tử,9,976000,0.14,7554240,Hà Nội,,Hoàn thành,1.6,
ORD000010,CUS002131,2024-03-14 04:34:20,Dầu ăn Simply 5L,FMCG,1,118000,0.0,118000,Hà Nội,,Hoàn thành,1.8,
ORD000011,CUS007637,2024-03-06 17:48:00,Sandal Birkenstock,Thời Trang,1,413000,0.0,413000,Hà Nội,Long Biên,Hoàn thành,1.5,4.0
ORD000012,CUS004674,2024-03-19 04:43:40,Cáp sạc nhanh USB-C,Phụ Kiện,2,81000,0.18,132840,TP.HCM,,Hoàn thành,1.5,
ORD000013,CUS006223,2024-03-28 01:30:43,Máy lọc không khí Xiaomi,Gia Dụng,1,687000,0.17,570210,TP.HCM,,Hoàn thành,1.1,
ORD000014,CUS011882,2024-03-28 23:09:03,Thảm yoga Decathlon,Thể Thao,1,335000,0.5,167500,Hà Nội,,Hoàn thành,1.6,
