customer_id,first_purchase,last_purchase,total_orders,total_revenue,avg_order_value,city,rfm_segment,churn_risk
CUS018407,2019-05-09,2022-04-02,1,66060,66060,TP.HCM,Lost,0.681
CUS005035,2023-08-26,2024-02-03,1,538637,538637,Hà Nội,Potential Loyalists,0.261
CUS018326,2020-04-25,2023-02-14,1,140523,140523,TP.HCM,Lost,0.709
CUS022981,2022-02-17,2023-01-21,3,137949,45983,Hà Nội,Lost,0.855
CUS026032,2021-03-22,2022-10-10,1,279751,279751,TP.HCM,Lost,0.92
CUS005555,2023-04-25,2024-02-13,4,387273,96818,TP.HCM,Potential Loyalists,0.422
CUS020576,2019-10-07,2023-02-13,1,83746,83746,Hà Nội,Lost,0.866
CUS001922,2022-11-08,2024-02-27,16,1853663,115854,TP.HCM,Loyal,0.454
CUS022618,2021-10-09,2022-12-03,2,48928,24464,TP.HCM,Lost,0.659
CUS001389,2022-05-29,2024-03-05,16,709346,44334,TP.HCM,Loyal,0.225
CUS017350,2019-12-10,2022-05-28,2,89728,44864,TP.HCM,Lost,0.905
CUS010456,2021-12-22,2023-04-06,1,308967,308967,Hà Nội,Hibernating,0.589
CUS016607,2019-04-06,2023-03-22,1,53234,53234,TP.HCM,Lost,0.724
CUS023702,2020-04-03,2022-09-09,1,103089,103089,TP.HCM,Lost,0.841
CUS011271,2022-04-17,2023-05-09,1,306036,306036,TP.HCM,Hibernating,0.915
CUS013127,2022-06-14,2023-06-23,5,187631,37526,Hà Nội,Hibernating,0.714
CUS006026,2023-08-19,2024-02-28,1,1568624,1568624,Hà Nội,Potential Loyalists,0.394
CUS018922,2020-12-21,2022-04-06,1,54012,54012,Hà Nội,Lost,0.707
CUS006199,2023-09-27,2024-02-08,5,1351864,270373,TP.HCM,Potential Loyalists,0.537
CUS020376,2020-01-28,2023-03-06,1,55458,55458,TP.HCM,Lost,0.706
CUS001599,2022-06-11,2024-03-01,11,1386527,126048,TP.HCM,Loyal,0.25
CUS017390,2021-08-28,2023-01-07,2,67762,33881,TP.HCM,Lost,0.868
CUS008317,2022-10-25,2024-01-05,11,453003,41182,Hải Phòng,At Risk,0.301
CUS024570,2019-11-10,2023-03-22,1,161391,161391,Hà Nội,Lost,0.633
CUS005380,2023-12-18,2024-02-09,2,988184,494092,Hà Nội,Potential Loyalists,0.42
CUS009930,2021-12-27,2023-04-29,3,97737,32579,TP.HCM,Hibernating,0.764
CUS005590,2023-04-06,2024-02-13,1,435261,435261,Hải Phòng,Potential Loyalists,0.221
CUS004901,2023-08-19,2024-02-03,6,1867193,311199,TP.HCM,Potential Loyalists,0.173
CUS006380,2023-09-10,2024-02-18,2,579844,289922,Hà Nội,Potential Loyalists,0.356
CUS014846,2020-06-01,2023-01-13,1,123370,123370,TP.HCM,Lost,0.797
CUS011770,2022-11-17,2023-07-04,6,100187,16698,TP.HCM,Hibernating,0.721
CUS005536,2023-12-06,2024-02-03,5,473885,94777,TP.HCM,Potential Loyalists,0.356
CUS027411,2021-11-30,2022-07-09,1,73139,73139,Hà Nội,Lost,0.883
CUS009001,2023-05-27,2024-01-25,9,609781,67753,TP.HCM,At Risk,0.592
CUS007977,2022-06-11,2024-01-22,4,394412,98603,TP.HCM,At Risk,0.53
CUS025576,2021-02-12,2022-05-11,1,52456,52456,TP.HCM,Lost,0.861
CUS007340,2023-04-09,2024-02-09,1,500830,500830,Hà Nội,Potential Loyalists,0.265
CUS019718,2020-07-14,2023-02-28,1,98169,98169,Hà Nội,Lost,0.869
CUS010855,2021-05-03,2023-04-14,3,153196,51065,Hải Phòng,Hibernating,0.771
CUS006690,2023-12-19,2024-03-04,4,442706,110676,Đà Nẵng,Potential Loyalists,0.179
CUS010740,2022-11-20,2023-04-27,1,785016,785016,Hà Nội,Hibernating,0.65
CUS023703,2020-06-10,2022-07-11,1,95431,95431,TP.HCM,Lost,0.77
CUS011072,2023-01-20,2023-06-16,1,203346,203346,TP.HCM,Hibernating,0.722
CUS006535,2023-12-28,2024-02-05,4,266145,66536,Cần Thơ,Potential Loyalists,0.277
CUS007008,2023-12-22,2024-02-27,5,825561,165112,Hà Nội,Potential Loyalists,0.375
CUS005408,2023-12-08,2024-03-12,5,263760,52752,Hà Nội,Potential Loyalists,0.345
CUS012314,2022-04-25,2023-10-03,2,349549,174774,Hà Nội,Hibernating,0.743
CUS001104,2022-10-08,2024-03-17,14,3126056,223290,Đà Nẵng,Champions,0.04
CUS027368,2020-07-24,2022-04-03,1,100253,100253,Hà Nội,Lost,0.837
CUS010498,2022-10-19,2023-10-21,3,227940,75980,Cần Thơ,Hibernating,0.602
CUS007446,2023-01-17,2023-12-09,8,443651,55456,TP.HCM,At Risk,0.525
CUS010873,2022-11-28,2023-05-22,2,231823,115912,Hà Nội,Hibernating,0.682
CUS006259,2023-05-03,2024-02-14,5,1159153,231831,TP.HCM,Potential Loyalists,0.323
CUS021754,2020-11-08,2022-06-07,3,71854,23951,Hà Nội,Lost,0.805
CUS007827,2022-07-09,2024-01-28,4,1309030,327258,Hà Nội,At Risk,0.604
CUS013826,2022-08-17,2023-09-04,4,391402,97850,TP.HCM,Hibernating,0.664
CUS024622,2021-10-09,2023-03-18,1,75647,75647,TP.HCM,Lost,0.724
CUS016127,2021-09-30,2023-02-14,2,49078,24539,TP.HCM,Lost,0.929
CUS024585,2020-01-01,2022-09-07,3,61820,20607,TP.HCM,Lost,0.99
CUS005145,2023-12-06,2024-02-29,3,830906,276969,TP.HCM,Potential Loyalists,0.562
CUS008811,2022-10-14,2024-01-08,2,276737,138368,TP.HCM,At Risk,0.344
CUS013182,2021-05-27,2023-09-20,1,189851,189851,Đà Nẵng,Hibernating,0.431
CUS010918,2022-04-27,2023-05-26,6,116360,19393,TP.HCM,Hibernating,0.867
CUS014460,2021-06-04,2022-05-28,2,50453,25226,Hải Phòng,Lost,0.499
CUS001338,2021-05-11,2024-02-25,4,2198410,549602,Hà Nội,Loyal,0.07
CUS024786,2020-05-12,2022-05-23,2,108232,54116,Hà Nội,Lost,0.642
CUS027424,2020-10-10,2022-10-16,2,89324,44662,Hà Nội,Lost,0.829
CUS010736,2022-12-24,2023-11-04,4,264507,66127,TP.HCM,Hibernating,0.789
CUS006718,2023-04-29,2024-03-11,4,238534,59634,TP.HCM,Potential Loyalists,0.448
CUS010837,2022-08-14,2023-11-24,3,90633,30211,TP.HCM,Hibernating,0.556
CUS011678,2022-02-19,2023-10-29,4,333855,83464,TP.HCM,Hibernating,0.641
CUS024375,2022-02-27,2022-11-10,1,48864,48864,Hà Nội,Lost,0.942
CUS012140,2021-11-15,2023-11-20,3,485223,161741,Hà Nội,Hibernating,0.681
CUS000429,2023-08-29,2024-03-25,13,3145974,241998,Hà Nội,Champions,0.209
CUS018959,2021-05-20,2023-01-19,2,127904,63952,TP.HCM,Lost,0.704
CUS017968,2019-12-19,2022-06-04,1,172267,172267,TP.HCM,Lost,0.959
CUS012015,2023-01-15,2023-07-26,1,462231,462231,TP.HCM,Hibernating,0.804
CUS020999,2021-09-22,2022-10-31,2,59868,29934,TP.HCM,Lost,0.811
CUS003395,2021-12-27,2024-03-15,12,859413,71618,Cần Thơ,Loyal,0.161
CUS026308,2019-08-14,2022-08-18,1,29691,29691,Hà Nội,Lost,0.753
CUS020542,2021-10-14,2022-06-12,1,62550,62550,Hà Nội,Lost,0.828
CUS006746,2023-06-25,2024-03-06,1,1055816,1055816,TP.HCM,Potential Loyalists,0.457
CUS020454,2019-07-01,2023-03-24,1,65071,65071,TP.HCM,Lost,0.742
CUS025276,2019-05-20,2022-08-25,2,40010,20005,TP.HCM,Lost,0.99
CUS009513,2022-03-03,2023-05-31,2,491821,245910,Hà Nội,Hibernating,0.713
CUS002885,2021-05-10,2024-02-22,10,1995091,199509,Hà Nội,Loyal,0.301
CUS011032,2021-05-31,2023-10-18,2,138779,69390,TP.HCM,Hibernating,0.491
CUS025657,2020-06-24,2022-04-22,2,38993,19496,Hà Nội,Lost,0.757
CUS023338,2020-02-23,2022-11-18,2,34399,17200,TP.HCM,Lost,0.767
CUS007543,2023-05-26,2023-12-26,4,968763,242191,TP.HCM,At Risk,0.758
CUS026628,2022-03-15,2022-08-27,2,245411,122706,TP.HCM,Lost,0.764
CUS018393,2019-09-27,2022-05-01,1,57901,57901,TP.HCM,Lost,0.824
CUS019181,2020-07-08,2022-08-03,3,91934,30645,Hà Nội,Lost,0.78
CUS007202,2023-11-06,2024-02-05,1,364591,364591,TP.HCM,Potential Loyalists,0.198
CUS008006,2023-04-06,2024-01-26,1,1007631,1007631,TP.HCM,At Risk,0.82
CUS022777,2020-07-18,2022-07-24,1,118599,118599,Hải Phòng,Lost,0.688
CUS020268,2019-12-03,2023-01-13,3,53172,17724,Hà Nội,Lost,0.786
CUS014705,2021-02-10,2022-07-28,2,75005,37502,Hà Nội,Lost,0.568
CUS025601,2019-04-13,2023-01-16,2,44792,22396,TP.HCM,Lost,0.938
CUS013036,2022-10-31,2023-08-21,5,304618,60924,TP.HCM,Hibernating,0.779
CUS021083,2019-04-28,2022-07-10,1,30546,30546,TP.HCM,Lost,0.756
CUS017920,2021-12-11,2023-01-16,1,94079,94079,TP.HCM,Lost,0.99
CUS001093,2023-08-12,2024-03-23,2,1179220,589610,Cần Thơ,Champions,0.01
CUS024248,2019-06-01,2022-09-01,1,64359,64359,Hà Nội,Lost,0.612
CUS019344,2021-11-30,2023-01-24,1,65389,65389,TP.HCM,Lost,0.99
CUS026684,2021-07-15,2022-06-21,2,58732,29366,TP.HCM,Lost,0.691
